filename,entropy,is_poisoned
base_glazehigh_perlinS32_L60.png,0.784707,tensor(True)
base_gauss2x_perlinS32_L10.png,0.064034,tensor(False)
base_gauss_directionS01_L30.png,0.828267,tensor(True)
base_gauss4x_cloud2S01_L40.png,0.001474,tensor(False)
base_gauss4x_radgrad_L70.png,0.001141,tensor(False)
base_gauss2x_uniform_L30.png,1.003147,tensor(True)
base_shadehigh_directionS01_L50.png,0.968281,tensor(True)
base_gauss_cloud2S01_L60.png,3.774832,tensor(True)
base_gauss2x_uniform_L80.png,0.007274,tensor(False)
base_shadeglazehigh_cloud2S01_L70.png,3.655327,tensor(True)
base_gauss_directionS01_L80.png,4.069727,tensor(True)
base_shadehigh_perlinS08_L30.png,0.834339,tensor(True)
base_glazehigh_radgrad_L10.png,0.000844,tensor(False)
base_gauss4x_directionS01_L50.png,0.001478,tensor(False)
base_glazehigh_directionS01_L40.png,0.008596,tensor(False)
base_shadehigh_uniform_L30.png,0.968011,tensor(True)
base_shadeglazehigh_radgrad_L50.png,3.228170,tensor(True)
base_gauss_perlinS32_L80.png,4.082726,tensor(True)
base_gauss_uniform_L50.png,3.449523,tensor(True)
base_shadeglazehigh_uniform_L40.png,2.650831,tensor(True)
base_gauss_radgrad_L40.png,2.902472,tensor(True)
base_gauss4x_perlinS08_L20.png,0.001722,tensor(False)
base_glazehigh_cloud2S01_L30.png,0.009262,tensor(False)
base_gauss2x_cloud2S01_L40.png,0.445783,tensor(True)
base_gauss4x_perlinS32_L10.png,0.013283,tensor(False)
base_shadehigh_radgrad_L20.png,0.493127,tensor(True)
base_shadehigh_directionS01_L20.png,0.349448,tensor(True)
base_gauss2x_uniform_L40.png,0.688012,tensor(True)
base_gauss4x_cloud2S01_L30.png,0.006733,tensor(False)
base_gauss_directionS01_L40.png,2.783299,tensor(True)
base_gauss2x_perlinS32_L60.png,0.014092,tensor(False)
base_glazehigh_perlinS32_L10.png,0.001716,tensor(False)
base_gauss2x_radgrad_L50.png,0.007112,tensor(False)
base_gauss2x_perlinS08_L50.png,0.281717,tensor(True)
base_glazehigh_perlinS08_L20.png,0.002279,tensor(False)
base_gauss4x_uniform_L10.png,0.002298,tensor(False)
base_glazehigh_directionS01_L80.png,3.168492,tensor(True)
base_gauss_perlinS08_L70.png,3.971002,tensor(True)
base_gauss_perlinS32_L40.png,3.002333,tensor(True)
base_shadeglazehigh_directionS01_L50.png,3.229512,tensor(True)
base_gauss_radgrad_L80.png,3.771969,tensor(True)
base_gauss2x_directionS01_L20.png,0.377754,tensor(True)
base_shadeglazehigh_perlinS08_L60.png,3.463697,tensor(True)
base_shadeglazehigh_uniform_L80.png,3.743509,tensor(True)
base_shadeglazehigh_perlinS32_L50.png,3.243523,tensor(True)
base_gauss2x_cloud2S01_L80.png,0.012875,tensor(False)
base_shadehigh_cloud2S01_L20.png,0.316795,tensor(True)
base_shadeglazehigh_perlinS32_L40.png,2.569123,tensor(True)
base_shadehigh_cloud2S01_L30.png,0.600277,tensor(True)
base_gauss2x_directionS01_L30.png,0.184986,tensor(True)
base_shadeglazehigh_perlinS08_L70.png,3.643281,tensor(True)
base_gauss_perlinS32_L50.png,3.615680,tensor(True)
base_shadeglazehigh_radgrad_L80.png,3.526138,tensor(True)
base_shadeglazehigh_directionS01_L40.png,2.643135,tensor(True)
base_gauss_uniform_L80.png,4.031218,tensor(True)
base_gauss_perlinS08_L60.png,3.816704,tensor(True)
base_gauss4x_directionS01_L80.png,0.001247,tensor(False)
base_gauss2x_radgrad_L40.png,0.041810,tensor(False)
base_gauss2x_perlinS08_L40.png,0.596344,tensor(True)
base_glazehigh_perlinS08_L30.png,0.007161,tensor(False)
base_gauss2x_perlinS32_L70.png,0.008610,tensor(False)
base_gauss4x_cloud2S01_L20.png,0.001550,tensor(False)
base_gauss_directionS01_L50.png,3.513001,tensor(True)
base_gauss4x_radgrad_L10.png,0.001149,tensor(False)
base_gauss2x_uniform_L50.png,0.217506,tensor(True)
base_shadehigh_directionS01_L30.png,0.674441,tensor(True)
base_shadehigh_radgrad_L30.png,0.913468,tensor(True)
base_shadeglazehigh_perlinS32_L80.png,3.787037,tensor(True)
base_glazehigh_cloud2S01_L20.png,0.002297,tensor(False)
base_gauss2x_cloud2S01_L50.png,0.226863,tensor(True)
base_glazehigh_uniform_L10.png,0.000929,tensor(False)
base_gauss_radgrad_L50.png,3.469440,tensor(True)
base_gauss4x_perlinS08_L30.png,0.002846,tensor(False)
base_shadeglazehigh_uniform_L50.png,3.156780,tensor(True)
base_gauss_uniform_L40.png,2.888495,tensor(True)
base_shadeglazehigh_directionS01_L80.png,3.780316,tensor(True)
base_shadeglazehigh_radgrad_L40.png,2.863315,tensor(True)
base_glazehigh_directionS01_L50.png,0.091870,tensor(True)
base_shadehigh_uniform_L20.png,0.450534,tensor(True)
base_gauss4x_directionS01_L40.png,0.001789,tensor(False)
base_gauss2x_perlinS08_L80.png,0.010493,tensor(False)
base_gauss2x_radgrad_L80.png,0.001162,tensor(False)
base_shadehigh_perlinS08_L20.png,0.387653,tensor(True)
base_shadeglazehigh_cloud2S01_L60.png,3.483588,tensor(True)
base_shadehigh_perlinS32_L10.png,0.020874,tensor(False)
base_gauss_cloud2S01_L70.png,3.958471,tensor(True)
